Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuit 1,Chrome 110.0.0.0,,,2023-03-01 18:53:22,2023-03-01 18:53:58,36.066s,PASSED
,,,,,,,
Test Cases/Demo/Manual Mode,Chrome 110.0.0.0,,,2023-03-01 18:53:23,2023-03-01 18:53:43,20.795s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-01 18:53:23,2023-03-01 18:53:25,2.233s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 110.0.0.0,,,2023-03-01 18:53:25,2023-03-01 18:53:39,13.896s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 110.0.0.0,,,2023-03-01 18:53:39,2023-03-01 18:53:41,1.528s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 110.0.0.0,,,2023-03-01 18:53:41,2023-03-01 18:53:41,0.743s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 110.0.0.0,,,2023-03-01 18:53:41,2023-03-01 18:53:43,2.033s,PASSED
,,,,,,,
Test Cases/Demo/Script Mode,Chrome 110.0.0.0,,,2023-03-01 18:53:43,2023-03-01 18:53:58,14.940s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-01 18:53:44,2023-03-01 18:53:46,2.106s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/"")",Chrome 110.0.0.0,,,2023-03-01 18:53:46,2023-03-01 18:53:55,8.547s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), Username)",Chrome 110.0.0.0,,,2023-03-01 18:53:55,2023-03-01 18:53:57,1.756s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 110.0.0.0,,,2023-03-01 18:53:57,2023-03-01 18:53:57,0.596s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 110.0.0.0,,,2023-03-01 18:53:57,2023-03-01 18:53:58,0.492s,PASSED
closeBrowser(),Chrome 110.0.0.0,,,2023-03-01 18:53:58,2023-03-01 18:53:58,0.681s,PASSED
